neighbourhood_name,frac_dc,frac_dc_res,frac_dc_com,frac_dc_ind,frac_dc_mix,frac_dc_inst,frac_dc_unknown
EASTWOOD,0.04708057825488615,0.0007776122524306317,0.04629623993374065,0.0,5.750853195978245e-06,0.0,9.752155188962205e-07
MATT BERRY,0.04651790488759392,0.026252752452714377,0.005310296449372206,0.0,0.0,0.014954855985507337,0.0
BEARSPAW,0.046305005419499154,0.04630494657864771,5.884085144467469e-08,0.0,0.0,0.0,0.0
OLESKIW,0.04573309088571933,0.04573309088571933,0.0,0.0,0.0,0.0,0.0
JAMIESON PLACE,0.04477024208104857,0.04475616835116226,4.564756286558806e-06,0.0,9.508973599757185e-06,0.0,0.0
TWIN BROOKS,0.043437849164950526,0.03922864760713963,0.004209201557810897,0.0,0.0,0.0,0.0
MICHAELS PARK,0.04213513462468382,2.5639865465396062e-05,0.04210949475921843,0.0,0.0,0.0,0.0
PRINCE RUPERT,0.04159127993387139,0.007844014046561118,0.028346961687858923,0.005389752049474323,0.0,1.055214997702883e-05,0.0
KERNOHAN,0.041015517471269775,0.041015517471269775,0.0,0.0,0.0,0.0,0.0
INGLEWOOD,0.0409991494794937,0.03406701290169933,0.0,0.0,0.0,0.0069321365777943724,0.0
STRATHCONA INDUSTRIAL PARK,0.040619093724869514,0.0,0.026566981565256532,0.01405211215961298,0.0,0.0,0.0
JASPER PARK,0.040449682823306854,0.02352709382955475,0.0169225889937521,0.0,0.0,0.0,0.0
RAPPERSWILL,0.04034993175080126,0.04034993175080126,0.0,0.0,0.0,0.0,0.0
STEINHAUER,0.03959478627140385,0.0,0.03959240912640823,0.0,0.0,0.0,2.3771449956149607e-06
LANSDOWNE,0.03750278555748646,0.0,0.0029669136113400583,0.0,0.0,0.0,0.0345358719461464
ELLERSLIE,0.03535289517868018,0.010404229295767575,0.0249486658829126,0.0,0.0,0.0,0.0
POLLARD MEADOWS,0.03500639950502666,0.031271059406948916,3.168562087739675e-05,0.0,0.0037036544772003524,0.0,0.0
