slug,agreement_no,url,use,confidence,note
dc1-14681,14681,https://zoningbylaw.edmonton.ca/dc1-14681,mix,m,George Durrand Residence commercial+residential
dc1-14690,14690,https://zoningbylaw.edmonton.ca/dc1-14690,res,h,
dc1-14732,14732,https://zoningbylaw.edmonton.ca/dc1-14732,res,h,
dc1-14928,14928,https://zoningbylaw.edmonton.ca/dc1-14928,res,h,
dc1-14965,14965,https://zoningbylaw.edmonton.ca/dc1-14965,res,h,
dc1-15020,15020,https://zoningbylaw.edmonton.ca/dc1-15020,res,h,
dc1-15056,15056,https://zoningbylaw.edmonton.ca/dc1-15056,com,h,Shopping Centre Zone
dc1-15317,15317,https://zoningbylaw.edmonton.ca/dc1-15317,res,m,medium/high density residential urban village
dc1-15386,15386,https://zoningbylaw.edmonton.ca/dc1-15386,res,m,Ingebert Olson Residence
dc1-15411,15411,https://zoningbylaw.edmonton.ca/dc1-15411,inst,l,Immigration Hall historic
dc1-15421,15421,https://zoningbylaw.edmonton.ca/dc1-15421,res,m,Foote Residence/Parkview Apartments
dc1-15451,15451,https://zoningbylaw.edmonton.ca/dc1-15451,res,h,
dc1-15578,15578,https://zoningbylaw.edmonton.ca/dc1-15578,mix,l,"Hull Block, range of uses+ltd residential"
dc1-15751,15751,https://zoningbylaw.edmonton.ca/dc1-15751,com,m,Duggan Residence office use
dc1-15767,15767,https://zoningbylaw.edmonton.ca/dc1-15767,mix,l,existing residential + allow industrial
dc1-15946,15946,https://zoningbylaw.edmonton.ca/dc1-15946,mix,m,commercial+medium-density residential
dc1-15964,15964,https://zoningbylaw.edmonton.ca/dc1-15964,res,h,reverse housing
dc1-16022,16022,https://zoningbylaw.edmonton.ca/dc1-16022,res,h,
dc1-16084,16084,https://zoningbylaw.edmonton.ca/dc1-16084,res,h,
dc1-16129,16129,https://zoningbylaw.edmonton.ca/dc1-16129,res,h,
dc1-16179,16179,https://zoningbylaw.edmonton.ca/dc1-16179,res,h,
dc1-16201,16201,https://zoningbylaw.edmonton.ca/dc1-16201,res,h,
dc1-16225,16225,https://zoningbylaw.edmonton.ca/dc1-16225,res,m,
dc1-16254,16254,https://zoningbylaw.edmonton.ca/dc1-16254,mix,m,commercial+medium-density residential
dc1-16261,16261,https://zoningbylaw.edmonton.ca/dc1-16261,res,m,
dc1-16270,16270,https://zoningbylaw.edmonton.ca/dc1-16270,res,h,
dc1-16281,16281,https://zoningbylaw.edmonton.ca/dc1-16281,mix,m,low intensity commercial+residential
dc1-16322,16322,https://zoningbylaw.edmonton.ca/dc1-16322,res,m,"McLuhan Residence, ltd residential/commercial/cultural"
dc1-16343,16343,https://zoningbylaw.edmonton.ca/dc1-16343,res,h,
dc1-16367,16367,https://zoningbylaw.edmonton.ca/dc1-16367,res,h,
dc1-16399,16399,https://zoningbylaw.edmonton.ca/dc1-16399,res,h,
dc1-16445,16445,https://zoningbylaw.edmonton.ca/dc1-16445,com,h,
dc1-16471,16471,https://zoningbylaw.edmonton.ca/dc1-16471,mix,m,medium density residential+ground floor commercial
dc1-16473,16473,https://zoningbylaw.edmonton.ca/dc1-16473,res,h,
dc1-16535,16535,https://zoningbylaw.edmonton.ca/dc1-16535,res,l,"Le Marchand historic, use unspecified"
dc1-16547,16547,https://zoningbylaw.edmonton.ca/dc1-16547,mix,m,Kelly Ramsey block multi-use
dc1-16602,16602,https://zoningbylaw.edmonton.ca/dc1-16602,unknown,l,fragment only
dc1-16613,16613,https://zoningbylaw.edmonton.ca/dc1-16613,ind,m,business employment
dc1-16693,16693,https://zoningbylaw.edmonton.ca/dc1-16693,res,h,
dc1-16763,16763,https://zoningbylaw.edmonton.ca/dc1-16763,res,m,John T Ross Residence + high density residential
dc1-16784,16784,https://zoningbylaw.edmonton.ca/dc1-16784,mix,m,low density mixed use residential+commercial
dc1-16797,16797,https://zoningbylaw.edmonton.ca/dc1-16797,res,m,A.K. Buckham Residence
dc1-16894,16894,https://zoningbylaw.edmonton.ca/dc1-16894,res,h,
dc1-17014,17014,https://zoningbylaw.edmonton.ca/dc1-17014,res,m,Hyndman Residence
dc1-17020,17020,https://zoningbylaw.edmonton.ca/dc1-17020,res,h,
dc1-17028,17028,https://zoningbylaw.edmonton.ca/dc1-17028,res,h,
dc1-17111,17111,https://zoningbylaw.edmonton.ca/dc1-17111,inst,m,Public Utility uses
dc1-17121-shallow-lot-0,17121 SL,https://zoningbylaw.edmonton.ca/dc1-17121-shallow-lot-0,res,h,
dc1-17121-stacked-row-housing,17121 SRH,https://zoningbylaw.edmonton.ca/dc1-17121-stacked-row-housing,res,h,
dc1-17178,17178,https://zoningbylaw.edmonton.ca/dc1-17178,mix,m,high density residential tower+street commercial
dc1-17355,17355,https://zoningbylaw.edmonton.ca/dc1-17355,mix,h,mixed use residential+commercial LRT
dc1-17382,17382,https://zoningbylaw.edmonton.ca/dc1-17382,inst,m,Public Utility+Commercial+Community Service
dc1-17410,17410,https://zoningbylaw.edmonton.ca/dc1-17410,res,h,
dc1-17414,17414,https://zoningbylaw.edmonton.ca/dc1-17414,res,h,
dc1-17470-area-1,17470 (1),https://zoningbylaw.edmonton.ca/dc1-17470-area-1,res,h,
dc1-17470-area-2,17470 (2),https://zoningbylaw.edmonton.ca/dc1-17470-area-2,res,h,
dc1-17485,17485,https://zoningbylaw.edmonton.ca/dc1-17485,res,m,Coates Residence
dc1-17646,17646,https://zoningbylaw.edmonton.ca/dc1-17646,mix,m,"Phyllis Grocery Store historic, commercial+residential"
dc1-17690,17690,https://zoningbylaw.edmonton.ca/dc1-17690,res,h,
dc1-17829,17829,https://zoningbylaw.edmonton.ca/dc1-17829,com,l,Gem Theatre facades historic
dc1-17844,17844,https://zoningbylaw.edmonton.ca/dc1-17844,unknown,l,no purpose text
dc1-17848,17848,https://zoningbylaw.edmonton.ca/dc1-17848,mix,h,high density commercial+residential Whyte Ave
dc1-17874,17874,https://zoningbylaw.edmonton.ca/dc1-17874,res,m,Hunt Residence
dc1-17884,17884,https://zoningbylaw.edmonton.ca/dc1-17884,res,h,
dc1-17918,17918,https://zoningbylaw.edmonton.ca/dc1-17918,inst,l,Church Street heritage character
dc1-18049,18049,https://zoningbylaw.edmonton.ca/dc1-18049,mix,h,commercial/residential/office/entertainment/cultural/institutional
dc1-18099-area-1,18099,https://zoningbylaw.edmonton.ca/dc1-18099-area-1,mix,h,retail/office/entertainment/residential
dc1-18099-area-2,18099,https://zoningbylaw.edmonton.ca/dc1-18099-area-2,mix,h,commercial+residential
dc1-18099-area-5,18099,https://zoningbylaw.edmonton.ca/dc1-18099-area-5,mix,m,mixed use retaining residential
dc1-18123,18123,https://zoningbylaw.edmonton.ca/dc1-18123,mix,l,"Boyle Renaissance, use unspecified"
dc1-18136,18136,https://zoningbylaw.edmonton.ca/dc1-18136,res,h,
dc1-18153,18153,https://zoningbylaw.edmonton.ca/dc1-18153,res,h,
dc1-18175-hecla-block,18175,https://zoningbylaw.edmonton.ca/dc1-18175-hecla-block,com,l,Hecla Block historic
dc1-18179,18179,https://zoningbylaw.edmonton.ca/dc1-18179,unknown,l,no purpose text
dc1-18190,18190,https://zoningbylaw.edmonton.ca/dc1-18190,mix,m,"Shop-Easy Grocery historic, commercial+residential"
dc1-18203,18203,https://zoningbylaw.edmonton.ca/dc1-18203,res,h,reverse housing
dc1-18205,18205,https://zoningbylaw.edmonton.ca/dc1-18205,res,h,
dc1-18253,18253,https://zoningbylaw.edmonton.ca/dc1-18253,res,h,
dc1-18332,18332,https://zoningbylaw.edmonton.ca/dc1-18332,unknown,l,no purpose text
dc1-18440,18440,https://zoningbylaw.edmonton.ca/dc1-18440,res,h,
dc1-18448,18448,https://zoningbylaw.edmonton.ca/dc1-18448,mix,m,Wallbridge Residence residential+commercial
dc1-18461,18461,https://zoningbylaw.edmonton.ca/dc1-18461,mix,m,"heritage area, business commercial+residential"
dc1-18468,18468,https://zoningbylaw.edmonton.ca/dc1-18468,inst,m,extended medical treatment services
dc1-18497,18497,https://zoningbylaw.edmonton.ca/dc1-18497,res,h,
dc1-18559,18559,https://zoningbylaw.edmonton.ca/dc1-18559,com,h,
dc1-18583,18583,https://zoningbylaw.edmonton.ca/dc1-18583,mix,m,Gibbard Block historic mix of uses
dc1-18591,18591,https://zoningbylaw.edmonton.ca/dc1-18591,res,m,Rodd Apartments historic
dc1-18597,18597,https://zoningbylaw.edmonton.ca/dc1-18597,com,h,shopping centre
dc1-18607,18607,https://zoningbylaw.edmonton.ca/dc1-18607,res,h,
dc1-18626,18626,https://zoningbylaw.edmonton.ca/dc1-18626,inst,l,Oblats Maison Provinciale historic
dc1-18632,18632,https://zoningbylaw.edmonton.ca/dc1-18632,res,h,
dc1-18680,18680,https://zoningbylaw.edmonton.ca/dc1-18680,res,h,
dc1-18685-area,18685,https://zoningbylaw.edmonton.ca/dc1-18685-area,res,h,
dc1-18685-area-b,18685,https://zoningbylaw.edmonton.ca/dc1-18685-area-b,res,h,
dc1-18712,18712,https://zoningbylaw.edmonton.ca/dc1-18712,res,m,Alex Cormack Residence
dc1-18748,18748,https://zoningbylaw.edmonton.ca/dc1-18748,res,h,
dc1-18769,18769,https://zoningbylaw.edmonton.ca/dc1-18769,res,h,
dc1-18795,18795,https://zoningbylaw.edmonton.ca/dc1-18795,res,h,reverse housing
dc1-18832,18832,https://zoningbylaw.edmonton.ca/dc1-18832,res,m,Griffith Residence
dc1-18836,18836,https://zoningbylaw.edmonton.ca/dc1-18836,inst,m,institutional/community service
dc1-18848,18848,https://zoningbylaw.edmonton.ca/dc1-18848,mix,m,existing commercial + transit-oriented residential mixed use
dc1-18885,18885,https://zoningbylaw.edmonton.ca/dc1-18885,com,m,Street Railway Substation adaptive reuse commercial
dc1-18890,18890,https://zoningbylaw.edmonton.ca/dc1-18890,inst,m,solar utility + water treatment + community/cultural
dc1-18922,18922,https://zoningbylaw.edmonton.ca/dc1-18922,res,h,
dc1-18934,18934,https://zoningbylaw.edmonton.ca/dc1-18934,res,m,single-detached historic context
dc1-19022,19022,https://zoningbylaw.edmonton.ca/dc1-19022,mix,m,Douglas Manor historic mixed-use
dc1-19035,19035,https://zoningbylaw.edmonton.ca/dc1-19035,mix,h,commercial+residential
dc1-19051,19051,https://zoningbylaw.edmonton.ca/dc1-19051,mix,m,Stovel Block historic range of uses
dc1-19066,19066,https://zoningbylaw.edmonton.ca/dc1-19066,res,h,
dc1-19115,19115,https://zoningbylaw.edmonton.ca/dc1-19115,inst,m,Ortona Armoury arts/community hub
dc1-19135,19135,https://zoningbylaw.edmonton.ca/dc1-19135,mix,m,"Rossdale Brewery historic, residential/parks/commercial/cultural"
dc1-19186,19186,https://zoningbylaw.edmonton.ca/dc1-19186,res,h,reverse housing
dc1-19232,19232,https://zoningbylaw.edmonton.ca/dc1-19232,res,h,
dc1-19266,19266,https://zoningbylaw.edmonton.ca/dc1-19266,res,m,
dc1-19270,19270 (3),https://zoningbylaw.edmonton.ca/dc1-19270,unknown,l,no purpose text
dc1-19308,19308,https://zoningbylaw.edmonton.ca/dc1-19308,res,h,
dc1-19316,19316,https://zoningbylaw.edmonton.ca/dc1-19316,res,h,
dc1-19331,19331,https://zoningbylaw.edmonton.ca/dc1-19331,mix,m,Delton Grocery historic commercial+residential
dc1-19382,19382,https://zoningbylaw.edmonton.ca/dc1-19382,res,m,medium density residential+ltd commercial
dc1-19431,19431,https://zoningbylaw.edmonton.ca/dc1-19431,com,m,Community Commercial Centre
dc1-19477,19477,https://zoningbylaw.edmonton.ca/dc1-19477,res,m,Walton L Smith Residence
dc1-19485-area,19485,https://zoningbylaw.edmonton.ca/dc1-19485-area,res,h,
dc1-19485-area-b,19485,https://zoningbylaw.edmonton.ca/dc1-19485-area-b,res,h,
dc1-19485-area-c,19485,https://zoningbylaw.edmonton.ca/dc1-19485-area-c,res,h,
dc1-19485-area-d,19485,https://zoningbylaw.edmonton.ca/dc1-19485-area-d,res,h,
dc1-19505,19505,https://zoningbylaw.edmonton.ca/dc1-19505,inst,h,Hospital and Health Campus
dc1-19506,19506,https://zoningbylaw.edmonton.ca/dc1-19506,inst,m,Friary/College heritage institutional
dc1-19509,19509,https://zoningbylaw.edmonton.ca/dc1-19509,res,h,
dc1-19546,19546,https://zoningbylaw.edmonton.ca/dc1-19546,res,h,
dc1-19568,19568,https://zoningbylaw.edmonton.ca/dc1-19568,res,h,
dc1-19570,19570,https://zoningbylaw.edmonton.ca/dc1-19570,res,h,
dc1-19628,19628,https://zoningbylaw.edmonton.ca/dc1-19628,inst,m,Aviation Museum historic
dc1-19636,19636,https://zoningbylaw.edmonton.ca/dc1-19636,res,h,
dc1-19662,19662,https://zoningbylaw.edmonton.ca/dc1-19662,com,m,Telephone Exchange historic + new commercial
dc1-19663,19663,https://zoningbylaw.edmonton.ca/dc1-19663,res,m,RLD lot wellsite
dc1-19674,19674,https://zoningbylaw.edmonton.ca/dc1-19674,res,h,
dc1-19693,19693,https://zoningbylaw.edmonton.ca/dc1-19693,res,h,
dc1-19714,19714,https://zoningbylaw.edmonton.ca/dc1-19714,res,m,mid-rise residential + CPR Station preservation
dc1-19719,19719,https://zoningbylaw.edmonton.ca/dc1-19719,unknown,l,no purpose text
dc1-19743-area,19743,https://zoningbylaw.edmonton.ca/dc1-19743-area,res,h,
dc1-19743-area-b,19743,https://zoningbylaw.edmonton.ca/dc1-19743-area-b,res,h,
dc1-19755,19755,https://zoningbylaw.edmonton.ca/dc1-19755,com,m,Ritchie Mill historic commercial
dc1-19761,19761,https://zoningbylaw.edmonton.ca/dc1-19761,com,h,
dc1-19771,19771,https://zoningbylaw.edmonton.ca/dc1-19771,inst,m,LRT Station + park and ride
dc1-19789,19789,https://zoningbylaw.edmonton.ca/dc1-19789,res,m,Cecil Burgess Residence + garden suite
dc1-19798,19798,https://zoningbylaw.edmonton.ca/dc1-19798,ind,m,business employment mix commercial/business/light industrial
dc1-19816,19816,https://zoningbylaw.edmonton.ca/dc1-19816,unknown,l,no purpose text
dc1-19827,19827,https://zoningbylaw.edmonton.ca/dc1-19827,res,h,
dc1-19835,19835,https://zoningbylaw.edmonton.ca/dc1-19835,mix,m,commercial+institutional+residential
dc1-19847,19847,https://zoningbylaw.edmonton.ca/dc1-19847,mix,m,residential+commercial Desrochers LRT
dc1-19860,19860,https://zoningbylaw.edmonton.ca/dc1-19860,mix,m,mixed use high rise + historic facades
dc1-19863,19863,https://zoningbylaw.edmonton.ca/dc1-19863,mix,m,John L Lang Apartments historic commercial+residential
dc1-19884,19884,https://zoningbylaw.edmonton.ca/dc1-19884,com,h,commercial shopping centre
dc1-19887,19887,https://zoningbylaw.edmonton.ca/dc1-19887,res,h,
dc1-19888,19888,https://zoningbylaw.edmonton.ca/dc1-19888,mix,m,Barto Residence historic residential+non-residential
dc1-19932,19932,https://zoningbylaw.edmonton.ca/dc1-19932,res,h,
dc1-19966,19966,https://zoningbylaw.edmonton.ca/dc1-19966,res,h,
dc1-19988,19988,https://zoningbylaw.edmonton.ca/dc1-19988,mix,m,historic 81 Ave commercial+mixed use
dc1-19998,19998,https://zoningbylaw.edmonton.ca/dc1-19998,res,h,
dc1-20060,20060,https://zoningbylaw.edmonton.ca/dc1-20060,res,h,
dc1-20093,20093,https://zoningbylaw.edmonton.ca/dc1-20093,res,h,
dc1-20124-area,20124,https://zoningbylaw.edmonton.ca/dc1-20124-area,res,h,
dc1-20124-area-b,20124,https://zoningbylaw.edmonton.ca/dc1-20124-area-b,res,h,
dc1-20164-area-5,20164,https://zoningbylaw.edmonton.ca/dc1-20164-area-5,unknown,l,no purpose text
dc1-20167,20167,https://zoningbylaw.edmonton.ca/dc1-20167,res,m,Magrath Mansion historic
dc1-20181,20181,https://zoningbylaw.edmonton.ca/dc1-20181,mix,m,Hangar 11 historic adaptive reuse mixed-use
dc1-20229,20229,https://zoningbylaw.edmonton.ca/dc1-20229,res,h,
dc1-20285,20285,https://zoningbylaw.edmonton.ca/dc1-20285,res,h,
dc1-20301,20301,https://zoningbylaw.edmonton.ca/dc1-20301,res,m,mixed-use predominantly residential
dc1-20340,20340,https://zoningbylaw.edmonton.ca/dc1-20340,com,m,Community Commercial Centre
dc1-20354,20354,https://zoningbylaw.edmonton.ca/dc1-20354,res,h,
dc1-20433,20433,https://zoningbylaw.edmonton.ca/dc1-20433,mix,m,mixed use high density
dc1-20460,20460,https://zoningbylaw.edmonton.ca/dc1-20460,inst,m,Loyal Orange Lodge community/cultural
dc1-20462,20462,https://zoningbylaw.edmonton.ca/dc1-20462,mix,m,mixed use commercial/residential/office
dc1-20477,20477,https://zoningbylaw.edmonton.ca/dc1-20477,mix,m,Transit Hotel urban village
dc1-20518,20518,https://zoningbylaw.edmonton.ca/dc1-20518,mix,m,high density mixed-use urban village
dc1-20538,20538,https://zoningbylaw.edmonton.ca/dc1-20538,mix,m,Balfour Manor historic mix of uses
dc1-20649,20649,https://zoningbylaw.edmonton.ca/dc1-20649,res,h,
dc1-20650,20650,https://zoningbylaw.edmonton.ca/dc1-20650,res,h,
dc1-20651,20651,https://zoningbylaw.edmonton.ca/dc1-20651,res,h,
dc1-20692,20692,https://zoningbylaw.edmonton.ca/dc1-20692,ind,m,business industrial + commercial
dc1-20696,20696,https://zoningbylaw.edmonton.ca/dc1-20696,res,m,single family/low-rise/medium mix + local uses
dc1-6220,6220,https://zoningbylaw.edmonton.ca/dc1-6220,unknown,l,no purpose text
dc1-6380,6380,https://zoningbylaw.edmonton.ca/dc1-6380,unknown,l,no purpose text
dc1-6502,6502,https://zoningbylaw.edmonton.ca/dc1-6502,unknown,l,"generic DC district, no use"
dc1-7085,7085,https://zoningbylaw.edmonton.ca/dc1-7085,res,h,multiple family/row housing
dc1-9508,9508,https://zoningbylaw.edmonton.ca/dc1-9508,ind,m,industrial and commercial business
dc2-100,100,https://zoningbylaw.edmonton.ca/dc2-100,res,m,day care + row housing
dc2-1002,1002,https://zoningbylaw.edmonton.ca/dc2-1002,res,h,
dc2-1006,1006,https://zoningbylaw.edmonton.ca/dc2-1006,mix,m,mixed-use mid-rise
dc2-1007,1007,https://zoningbylaw.edmonton.ca/dc2-1007,res,h,
dc2-1008,1008,https://zoningbylaw.edmonton.ca/dc2-1008,res,h,
dc2-1009,1009,https://zoningbylaw.edmonton.ca/dc2-1009,mix,m,residential+commercial+ltd community
dc2-101,101,https://zoningbylaw.edmonton.ca/dc2-101,com,m,neighbourhood convenience commercial+club
dc2-1010,1010,https://zoningbylaw.edmonton.ca/dc2-1010,com,h,shopping center
dc2-1014,1014,https://zoningbylaw.edmonton.ca/dc2-1014,com,h,
dc2-1015,1015,https://zoningbylaw.edmonton.ca/dc2-1015,com,l,interim commercial/institutional/recreational
dc2-1018,1018,https://zoningbylaw.edmonton.ca/dc2-1018,com,m,convenience commercial+personal service
dc2-1019,1019,https://zoningbylaw.edmonton.ca/dc2-1019,com,m,commercial+office+ltd residential
dc2-102,102,https://zoningbylaw.edmonton.ca/dc2-102,com,m,general business
dc2-1020,1020,https://zoningbylaw.edmonton.ca/dc2-1020,res,h,high-rise residential tower
dc2-1024,1024,https://zoningbylaw.edmonton.ca/dc2-1024,com,m,neighbourhood convenience commercial
dc2-1025,1025,https://zoningbylaw.edmonton.ca/dc2-1025,mix,m,two high rise residential + commercial podium
dc2-1027,1027,https://zoningbylaw.edmonton.ca/dc2-1027,res,m,high-rise apartment + ground commercial
dc2-1028,1028,https://zoningbylaw.edmonton.ca/dc2-1028,ind,m,industrial business + offices + ltd commercial
dc2-1030,1030,https://zoningbylaw.edmonton.ca/dc2-1030,ind,m,non-industrial businesses + retail supplement to industrial
dc2-1031,1031,https://zoningbylaw.edmonton.ca/dc2-1031,res,h,high-rise residential
dc2-1032,1032,https://zoningbylaw.edmonton.ca/dc2-1032,res,m,12-bedroom Group Home
dc2-1035,1035,https://zoningbylaw.edmonton.ca/dc2-1035,com,m,retail-business + highway commercial
dc2-1036,1036,https://zoningbylaw.edmonton.ca/dc2-1036,mix,m,vehicle-oriented commercial+medium rise residential
dc2-1037,1037,https://zoningbylaw.edmonton.ca/dc2-1037,res,h,high-rise apartment
dc2-1038,1038,https://zoningbylaw.edmonton.ca/dc2-1038,com,h,neighbourhood commercial
dc2-1039,1039,https://zoningbylaw.edmonton.ca/dc2-1039,mix,m,high density residential tower + mix of uses
dc2-1040,1040,https://zoningbylaw.edmonton.ca/dc2-1040,com,m,convenience commercial+personal service
dc2-1041,1041,https://zoningbylaw.edmonton.ca/dc2-1041,com,m,convenience commercial+personal service
dc2-1042,1042,https://zoningbylaw.edmonton.ca/dc2-1042,res,h,low rise residential
dc2-1045,1045,https://zoningbylaw.edmonton.ca/dc2-1045,res,h,Single Detached House
dc2-1046,1046,https://zoningbylaw.edmonton.ca/dc2-1046,com,m,small-scale commercial/retail/office
dc2-1047,1047,https://zoningbylaw.edmonton.ca/dc2-1047,com,m,retail/office/business
